id,name,segment_ids,description,part_of
0000586,Malton Loop,TRL21259;TRL21260;TRL21261;TRL21262;TRL21263;TRL21264;TRL21265;TRL21870;TRL21872;TRL21874;TRL21876;TRL21877;TRL21878;TRL21879;TRL21880;TRL21881;TRL21882;TRL21883;TRL21884;TRL21885,,
0000594,DNR-Harlow Lake Trails - McLovin,TRL21081;TRL21688;TRL21690;TRL21691,,
0000608,Morgan Creek Loop,TRL21283;TRL22003;TRL22004;TRL22005;TRL22008;TRL22266;TRL22271;TRL22274;TRL22276;TRL22278;TRL22279;TRL22280;TRL22646;TRL22664;TRL22668;TRL22670;TRL22676;TRL22678;TRL22681;TRL22685;TRL22689;TRL23656,,
0000620,Mount Marquette Loop,TRL21309;TRL22015;TRL22016;TRL22017;TRL22019;TRL22022;TRL22025;TRL22026;TRL22027;TRL22028;TRL22038;TRL22041;TRL22046;TRL22047;TRL22249;TRL22255;TRL22256;TRL22258;TRL22760;TRL23618,,
0000647,NMU Trails,TRL21297;TRL21741;TRL21742;TRL23605;TRL23607;TRL23609;TRL23610,,
0000657,Noque,TRL21132;TRL21145;TRL21147;TRL21292;TRL21300;TRL21307;TRL21573;TRL21574;TRL21576;TRL21577;TRL21579;TRL21580;TRL21581;TRL21582;TRL21583;TRL21584;TRL21610;TRL21618;TRL21619;TRL21641;TRL21642;TRL21645;TRL21646;TRL21647;TRL21648;TRL21649;TRL21650;TRL21651;TRL21777;TRL21778;TRL21780;TRL22769;TRL22770;TRL23604;TRL23606;TRL23608;TRL23610;TRL23611,,
0000663,Noquemanon Trail,TRL21293;TRL21587;TRL21588;TRL21589;TRL21590;TRL21591;TRL21592;TRL21593;TRL21594;TRL21595;TRL21596;TRL21597;TRL21598;TRL21599;TRL21600;TRL21601;TRL21602;TRL21603;TRL21604;TRL21605;TRL21606;TRL21607;TRL21608;TRL21609;TRL21611;TRL21612;TRL21614;TRL21615;TRL21585;TRL21621;TRL21622;TRL21623;TRL21624;TRL21625;TRL21626;TRL21627;TRL21628;TRL21629;TRL21630;TRL21631;TRL21632;TRL21633;TRL21634;TRL21635;TRL21636;TRL21637;TRL21638;TRL21639;TRL21640,,
0000694,North Trails,TRL21306;TRL21763;TRL21294;TRL21766;TRL21767;TRL21768;TRL21769;TRL21770;TRL21761;TRL21772;TRL21773;TRL21774;TRL21775;TRL21776,,
0000695,Old Carp River Loop,TRL21286;TRL22696;TRL22709;TRL22710;TRL22753;TRL22754;TRL22756;TRL22757,,
0000696,Papasay,TRL21304;TRL21616,,
0000702,Pioneer Loop,TRL21278;TRL21976;TRL21977;TRL21978;TRL21979;TRL21980;TRL21981;TRL21982;TRL21983;TRL21990;TRL21992;TRL21995;TRL21996;TRL21998;TRL22000;TRL22007;TRL22009;TRL22013;TRL22264;TRL22265;TRL22267;TRL22269;TRL22277;TRL22282;TRL22292;TRL22296;TRL22298;TRL22301;TRL22302;TRL22303;TRL22304;TRL22680;TRL22686,,
0000705,Presque Isle Trails,TRL21281;TRL21793;TRL21794;TRL21279;TRL21796;TRL21797;TRL21798;TRL21799;TRL21800;TRL21801;TRL21802;TRL21803;TRL21804;TRL21805;TRL21806;TRL21807;TRL21808;TRL21809;TRL21810;TRL21811;TRL21812;TRL21813;TRL21814;TRL21815;TRL21816;TRL21817;TRL21818;TRL21819;TRL21820,,
0000706,Ranger Loop,TRL21239,,
0000713,DNR-Harlow Lake Trails - Rickles,TRL21084;TRL21695,,
0000715,Saux Head Trail,TRL21291;TRL21558;TRL21559;TRL21560;TRL21561;TRL21562;TRL21563;TRL21564;TRL21565;TRL21566;TRL21567;TRL21568;TRL21569;TRL21570;TRL21571;TRL21572,,
0000728,Section 16 Loop,TRL21240;TRL21269;TRL21846;TRL21847,,
0000763,DNR-Harlow Lake Trails - Sugarloaf,TRL21062;TRL21137;TRL21278;TRL21286;TRL21728;TRL21729;TRL21976;TRL21978;TRL21985;TRL21986;TRL21989;TRL21991;TRL21992;TRL21994;TRL21997;TRL21998;TRL22000;TRL22004;TRL22005;TRL22007;TRL22008;TRL22009;TRL22013;TRL22253;TRL22264;TRL22271;TRL22272;TRL22273;TRL22276;TRL22278;TRL22293;TRL22294;TRL22298;TRL22299;TRL22300;TRL22302;TRL22303;TRL22304;TRL22652;TRL22654;TRL22674;TRL22680;TRL22682;TRL22683;TRL22684;TRL22687;TRL22688;TRL22691;TRL22695;TRL22706;TRL22709;TRL22750;TRL22753;TRL22754;TRL22756;TRL22757;TRL23602,,
0000785,DNR-Harlow Lake Trails - Top of the World,TRL21128,,
0000788,Tourist Park Trails,TRL21275,,
0000793,Upper Baraga Lake,TRL21233,,
0000811,DNR-Harlow Lake Trails - Wetmore Trail,TRL21103;TRL21127;TRL21720;TRL21721;TRL21722,,
0000815,Yellow Dog Falls,TRL21232;TRL21234;TRL21235;TRL21555,,
0000828,Margaret-Bulldog Lake Portage,TRL21231,,
0001387,Thunder Valley Bridle Trail,TRL21088;TRL21089;TRL21090;TRL21091;TRL21092;TRL21093;TRL21094;TRL21165;TRL21166;TRL21167;TRL21168;TRL21169,,
SFPW088,Blueberry Ridge Pathway,TRL21942;TRL21943;TRL21944;TRL21945;TRL21946;TRL21947;TRL21948;TRL21949;TRL21950;TRL21951;TRL21952;TRL21953;TRL21954;TRL21955;TRL21956;TRL21957;TRL21958;TRL21959;TRL21960;TRL21961,"12 miles, groomed ski, hike, 1.7miles lighted for night skiing",
0001272,DNR-Harlow Lake Trails - Song Bird Trail,TRL21073;TRL21075;TRL21666;TRL21669;TRL21671,,
0000835,Noquemanon Trail Network Connector,TRL21963;TRL21973,,
0000836,Down Dogger,TRL22661;TRL22665;TRL23614,,
0000839,Upper Down Dogger,TRL21966;TRL22663,,
0000888,Harlow Farms Connector Trail,TRL21289;TRL21971;TRL21972;TRL21975;TRL23615,,
0000890,Scary Trail,TRL21969,,
0000892,Southern Cross Trail,TRL21965,,
0000894,DNR Cabin Number 6 Trail,TRL21122;TRL21123;TRL21148;TRL21196;TRL21653;TRL21654,,
0000895,DNR South Marquette GEMS Trail 1,TRL21199,,
0000896,DNR South Marquette GEMS Trail 2,TRL23662;TRL23663,,
0000897,DNR South Marquette GEMS Trail 3,TRL23665,,
0000898,DNR South Marquette GEMS Trail 4,TRL23666;TRL23667;TRL23669;TRL23670;TRL23671;TRL23672;TRL23673;TRL23674;TRL23675;TRL23676,,
0000899,DNR Hunter Walking Trail 1,TRL21213;TRL21214;TRL21215;TRL21895;TRL21896,,
0000900,DNR Hunter Walking Trail 2,TRL21216,,
0000901,DNR Hunter Walking Trail 3,TRL21200;TRL24057;TRL24058;TRL24059,,
0000905,DNR Hunter Walking Trail 7,TRL24060,,
0000906,DNR Hunter Walking Trail 8,TRL24061;TRL24062,,
0000907,DNR Hunter Walking Trail 9,TRL24063;TRL24064,,
0000908,DNR Hunter Walking Trail 10,TRL24065,,
0000909,DNR Hunter Walking Trail 11,TRL24066,,
0000915,DNR-Harlow Lake Trails - Old Railroad Grade,TRL21042;TRL21043;TRL21101;TRL21138;TRL21657;TRL21658;TRL21701;TRL21703;TRL21704;TRL21705,,
0000916,DNR-Harlow Lake Trails - Climb Section 1,TRL21065;TRL21067;TRL21699,,
0000917,The Goat Trail,TRL21970;TRL22259,,
0000870,Clowry-Nestoria Trail,TRL21161,,
0001318,Ishpeming to Republic Route,TRL21180,,
0000874,Craig Lake State Park - Clair Lake Portage,TRL21542;TRL21181;TRL22768,,
0000859,Craig Lake State Park - Craig Lake Portage,TRL21184;TRL21185;TRL21542;TRL21181;TRL21549;TRL21551;TRL22768,,
0000875,Craig Lake State Park - Crooked Lake Portage,TRL21184;TRL21185;TRL21549;TRL21551,,
0000268,AAA Trail,TRL21004,,
0000293,Amasa Trail,TRL21171;TRL21172,,
0000314,DNR-Harlow Lake Trails - Anti-Jedi,TRL21065,,
0000431,Fence River Trail,TRL21086,,
0000473,Helps to Arnold Trail,TRL21162,,
0000551,Kates Grade,TRL21038,,
0000701,Perrin Brothers Trail,TRL21036;TRL21037;TRL21178;TRL23664,,
0000833,Benson Grade,TRL21278,,
0000914,DNR-Harlow Lake Trails - Mud Duck Section 1,TRL21700,,
0000910,DNR-Harlow Lake Trails - Harlow Creek,TRL21678;TRL21679;TRL21685;TRL23659;TRL23660,,
0000911,DNR-Harlow Lake Trails - Little Presque Isle Point,TRL21686;TRL21696,,
0000912,DNR-Harlow Lake Trails - Stairs,TRL23661,,
